Time,Mean
3/30/17,0.05759415
3/31/17,0.030636758
4/1/17,0.05222695
4/2/17,0.039334782
4/3/17,0.055107001
4/4/17,0.056142572
4/5/17,0.038352061
4/6/17,0.033367112
4/7/17,0.03617233
4/8/17,0.023810508
4/9/17,0.035440337
4/10/17,0.027152423
4/11/17,0.017477525
4/12/17,0.036478825
4/13/17,0.034631278
4/14/17,0.037467301
4/15/17,0.036354203
4/16/17,0.032631252
4/17/17,0.054493286
4/18/17,0.03604022
4/19/17,0.054048438
4/20/17,0.025035799
4/21/17,0.0323755
4/22/17,0.022138415
4/23/17,0.034725271
4/24/17,0.033134278
4/25/17,0.028357692
4/26/17,0.033182308
4/27/17,-1.27E+30
4/28/17,0.017865222
4/29/17,0.019705193
4/30/17,0.030049415
5/1/17,0.020286622
5/2/17,0.026010729
5/3/17,0.028623778
5/4/17,0.025113981
5/5/17,0.027889226
5/6/17,0.027814657
5/7/17,0.033949032
5/8/17,0.018543642
5/9/17,0.027055662
5/10/17,0.020830501
5/11/17,0.019432634
5/12/17,0.026621196
5/13/17,0.029948946
5/14/17,0.03506903
5/15/17,0.033657786
5/16/17,0.02995785
5/17/17,0.032000039
5/18/17,0.030371154
5/19/17,0.033302791
5/20/17,0.032396991
5/21/17,0.029584549
5/22/17,0.024149498
5/23/17,0.037220277
5/24/17,0.029969996
5/25/17,0.032783885
5/26/17,0.026765054
5/27/17,0.027913267
5/28/17,0.027811902
5/29/17,-1.27E+30
5/30/17,0.030363226
5/31/17,0.023746835
6/1/17,0.029419247
6/2/17,0.027161691
6/3/17,0.028591787
6/4/17,0.027582781
6/5/17,0.027621165
6/6/17,0.02924287
6/7/17,0.023532452
6/8/17,0.03265449
6/9/17,0.020987755
6/10/17,0.025230346
6/11/17,0.023644244
6/12/17,0.024946287
6/13/17,0.02271466
6/14/17,0.022630654
6/15/17,0.030966433
6/16/17,0.024743002
6/17/17,0.031951174
6/18/17,0.025868766
6/19/17,0.021399267
6/20/17,0.021269132
6/21/17,0.017394394
6/22/17,0.023170875
6/23/17,0.019308053
6/24/17,0.02730407
6/25/17,0.021415211
6/26/17,0.023892865
6/27/17,0.024550946
6/28/17,0.022791695
6/29/17,0.021227017
6/30/17,-1.27E+30
7/1/17,0.02331776
7/2/17,0.022889826
7/3/17,0.022617538
7/4/17,0.02088608
7/5/17,0.023737187
7/6/17,0.028506722
7/7/17,0.017766761
7/8/17,0.020283124
7/9/17,0.025512379
7/10/17,0.028333861
7/11/17,0.025432536
7/12/17,0.023477607
7/13/17,0.021888334
7/14/17,0.029376108
7/15/17,0.023761747
7/16/17,0.019097155
7/17/17,0.026862018
7/18/17,0.020157799
7/19/17,0.027030215
7/20/17,0.01780835
7/21/17,0.02377107
7/22/17,0.020532267
7/23/17,0.024276508
7/24/17,0.026820818
7/25/17,0.024679536
7/26/17,0.024037967
7/27/17,0.027604183
7/28/17,0.030633919
7/29/17,0.026140934
7/30/17,0.021637118
7/31/17,0.028652186
8/1/17,-1.27E+30
8/2/17,0.025945347
8/3/17,0.032534801
8/4/17,0.030388111
8/5/17,0.031568833
8/6/17,0.028417081
8/7/17,0.028530316
8/8/17,0.024416763
8/9/17,0.025067722
8/10/17,0.027054193
8/11/17,0.037826467
8/12/17,0.032407727
8/13/17,0.033053789
8/14/17,0.02402271
8/15/17,0.030124577
8/16/17,0.021429377
8/17/17,0.026264448
8/18/17,0.036194358
8/19/17,0.024766443
8/20/17,0.036477692
8/21/17,-1.27E+30
8/22/17,0.034863491
8/23/17,0.031250373
8/24/17,0.027998662
8/25/17,0.030821104
8/26/17,0.033934064
8/27/17,0.038132437
8/28/17,0.031008037
8/29/17,0.040752668
8/30/17,0.026103903
8/31/17,0.040369861
9/1/17,0.044511966
9/2/17,-1.27E+30
9/3/17,0.057298392
9/4/17,0.052889951
9/5/17,0.054885082
9/6/17,0.057987083
9/7/17,0.050406527
9/8/17,0.054383114
9/9/17,0.038943969
9/10/17,0.041703779
9/11/17,0.03211524
9/12/17,0.061919145
9/13/17,0.07232713
9/14/17,0.055842578
9/15/17,0.064012028
9/16/17,0.086457498
9/17/17,0.118793122
9/18/17,0.096488632
9/19/17,0.11100702
9/20/17,0.079819091
9/21/17,0.083753996
9/22/17,0.070552982
9/23/17,0.068274647
9/24/17,0.068403237
9/25/17,0.069248758
9/26/17,0.064712882
9/27/17,0.044010025
9/28/17,0.069741719
9/29/17,0.056618832
9/30/17,0.063867539
10/1/17,0.039013244
10/2/17,0.053999614
10/3/17,0.04109503
10/4/17,-1.27E+30
10/5/17,0.05480431
10/6/17,0.044826355
10/7/17,0.055362724
10/8/17,0.024478221
10/9/17,0.041842621
10/10/17,0.038729928
10/11/17,0.044257049
10/12/17,0.036702059
10/13/17,0.032482393
10/14/17,0.055156954
10/15/17,0.047706593
10/16/17,0.040343046
10/17/17,0.025342098
10/18/17,0.038999301
10/19/17,0.039099641
10/20/17,0.040545333
10/21/17,0.050810564
10/22/17,0.039262638
10/23/17,0.058758892
10/24/17,0.03404272
10/25/17,0.05919826
10/26/17,0.042642981
10/27/17,0.043904916
10/28/17,0.044084251
10/29/17,0.038401917
10/30/17,0.039876681
10/31/17,0.024223518
11/1/17,0.039834853
11/2/17,0.025004959
11/3/17,0.046246536
11/4/17,0.031156404
11/5/17,-1.27E+30
11/6/17,0.040055465
11/7/17,0.030796398
11/8/17,0.032194093
11/9/17,0.030782748
11/10/17,0.056420498
11/11/17,0.023512799
11/12/17,0.03626791
11/13/17,0.034476344
11/14/17,0.040870309
11/15/17,0.038766779
11/16/17,0.028641673
11/17/17,0.030611375
11/18/17,0.03020536
11/19/17,0.033081781
11/20/17,0.037479412
11/21/17,0.024057997
11/22/17,0.034067068
11/23/17,0.030610925
11/24/17,0.04289284
11/25/17,0.031652749
11/26/17,0.034047976
11/27/17,0.033914868
11/28/17,0.038839273
11/29/17,0.036966622
11/30/17,0.025287898
12/1/17,0.03014157
12/2/17,0.04215391
12/3/17,0.037964035
12/4/17,0.028992163
12/5/17,0.058610644
12/6/17,0.095505014
12/7/17,-1.27E+30
12/8/17,0.032274466
12/9/17,0.03370912
12/10/17,0.041648373
12/11/17,0.025415691
12/12/17,0.042508937
12/13/17,0.021330567
12/14/17,0.040819876
12/15/17,0.035453662
12/16/17,0.031519126
12/17/17,0.027896771
12/18/17,0.026053099
12/19/17,0.027362891
12/20/17,0.025687981
12/21/17,0.03767122
12/22/17,0.022065016
12/23/17,0.030829938
12/24/17,0.030427704
12/25/17,0.021567479
12/26/17,0.038147211
12/27/17,0.032134119
12/28/17,0.040401932
12/29/17,0.029333126
12/30/17,0.041643951
12/31/17,0.043713067
1/1/18,0.03801446
1/2/18,0.043916509
1/3/18,0.035167817
1/4/18,0.040133357
1/5/18,0.038698573
1/6/18,0.03225911
1/7/18,0.021649228
1/8/18,-1.27E+30
1/9/18,0.021899955
1/10/18,0.024217144
1/11/18,0.028796876
1/12/18,0.025091989
1/13/18,0.026287794
1/14/18,0.024550313
1/15/18,0.06955146
1/16/18,0.03598867
1/17/18,0.033467364
1/18/18,0.044064309
1/19/18,0.025826553
1/20/18,0.031201474
1/21/18,0.031055341
1/22/18,0.02387815
1/23/18,0.023433548
1/24/18,0.027719768
1/25/18,0.049785882
1/26/18,0.02811775
1/27/18,0.036625151
1/28/18,0.040806033
1/29/18,0.031277232
1/30/18,0.023847757
1/31/18,0.032945953
2/1/18,0.022446387
2/2/18,0.028956123
2/3/18,0.033793148
2/4/18,0.026441285
2/5/18,0.034681886
2/6/18,0.02793904
2/7/18,0.018222848
2/8/18,0.02772456
2/9/18,-1.27E+30
2/10/18,0.013944941
2/11/18,0.020148296
2/12/18,0.030319933
2/13/18,0.019767847
2/14/18,0.035773162
2/15/18,0.025398416
2/16/18,0.031101495
2/17/18,0.040372901
2/18/18,0.023724871
2/19/18,0.016565884
2/20/18,0.02249356
2/21/18,0.03132638
2/22/18,0.01423196
2/23/18,0.026880086
2/24/18,0.019944197
2/25/18,0.026868036
2/26/18,0.026309427
2/27/18,0.023076931
2/28/18,0.02537236
3/1/18,0.036407262
3/2/18,0.034208205
3/3/18,0.028878998
3/4/18,0.034316234
3/5/18,0.02761773
3/6/18,0.042470653
3/7/18,0.049024649
3/8/18,0.03474367
3/9/18,0.035583541
3/10/18,0.032974396
3/11/18,0.033727568
3/12/18,0.028530819
3/13/18,-1.27E+30
3/14/18,0.009529051
3/15/18,0.037408918
3/16/18,0.035387136
3/17/18,0.027453667
3/18/18,0.030057941
3/19/18,0.033480268
3/20/18,0.042948924
3/21/18,0.034720395
3/22/18,0.042228807
3/23/18,0.026201727
3/24/18,0.027660109
3/25/18,0.025006266
3/26/18,0.038745217
3/27/18,0.027501823
3/28/18,0.024920717
3/29/18,0.030663027
3/30/18,0.020700932
3/31/18,0.035829339
4/1/18,0.030469464
4/2/18,0.035471462
4/3/18,0.046016645
4/4/18,0.053314466
4/5/18,0.043193623
4/6/18,0.00495
4/7/18,0.019293577
4/8/18,0.02996075
4/9/18,0.03185093
4/10/18,0.034556355
4/11/18,0.042435203
4/12/18,0.029756002
4/13/18,0.028729772
4/14/18,-1.27E+30
4/15/18,0.043409776
4/16/18,0.027323999
4/17/18,0.036846276
4/18/18,0.029872406
4/19/18,0.03932805
4/20/18,0.019148022
4/21/18,0.02022842
4/22/18,0.0348166
4/23/18,0.022878705
4/24/18,0.02961158
4/25/18,0.02769543
4/26/18,0.033538181
4/27/18,0.024204606
4/28/18,0.02478059
4/29/18,0.024250163
4/30/18,0.020201532
5/1/18,0.028839044
5/2/18,0.023819443
5/3/18,0.033970103
5/4/18,0.034179829
5/5/18,0.024325583
5/6/18,0.025082352
5/7/18,0.020263905
5/8/18,0.03132578
5/9/18,0.018140726
5/10/18,0.028583041
5/11/18,0.021301108
5/12/18,0.025619838
5/13/18,0.037474897
5/14/18,0.028911034
5/15/18,0.019837171
5/16/18,-1.27E+30
5/17/18,0.030392867
5/18/18,0.035621747
5/19/18,0.030118717
5/20/18,0.023796056
5/21/18,0.020955896
5/22/18,0.023634499
5/23/18,0.022575216
5/24/18,0.019835895
5/25/18,0.020699952
5/26/18,0.034850739
5/27/18,0.031950768
5/28/18,0.02807294
5/29/18,0.031745471
5/30/18,0.029523253
5/31/18,0.03132439
6/1/18,0.024122471
6/2/18,0.026735526
6/3/18,0.023299381
6/4/18,0.022008367
6/5/18,0.02165906
6/6/18,0.02565816
6/7/18,0.018568123
6/8/18,0.019083388
6/9/18,0.028954964
6/10/18,0.025209675
6/11/18,0.029001895
6/12/18,0.02245678
6/13/18,0.028622
6/14/18,0.025229152
6/15/18,0.023381112
6/16/18,0.021595733
6/17/18,-1.27E+30
6/18/18,0.020857446
6/19/18,0.02562416
6/20/18,0.0331297
6/21/18,0.021905351
6/22/18,0.02610518
6/23/18,0.023320984
6/24/18,0.02539371
6/25/18,0.027188655
6/26/18,0.029732397
6/27/18,0.031826142
6/28/18,0.027166309
6/29/18,0.025658334
6/30/18,0.028958213
7/1/18,0.026009634
7/2/18,0.024253713
7/3/18,0.020611595
7/4/18,0.019751225
7/5/18,0.021343581
7/6/18,0.025862694
7/7/18,0.022149636
7/8/18,0.022667104
7/9/18,0.019961407
7/10/18,0.015982831
7/11/18,0.015585123
7/12/18,0.024358381
7/13/18,0.027069319
7/14/18,0.025428465
7/15/18,0.029102827
7/16/18,0.022641869
7/17/18,0.01836928
7/18/18,0.026822791
7/19/18,-1.27E+30
7/20/18,0.030260595
7/21/18,0.02780667
7/22/18,0.021767678
7/23/18,0.026281789
7/24/18,0.023897432
7/25/18,0.021683836
7/26/18,0.024814302
7/27/18,0.019639699
7/28/18,0.020945191
7/29/18,0.029650249
7/30/18,0.027339572
7/31/18,0.031936467
8/1/18,0.02666213
8/2/18,0.027124463
8/3/18,0.023034804
8/4/18,0.02650479
8/5/18,0.029057331
8/6/18,0.022108931
8/7/18,0.022964377
8/8/18,0.01796446
8/9/18,0.025520977
8/10/18,0.022117015
8/11/18,0.024859386
8/12/18,0.023697101
8/13/18,0.020350469
8/14/18,0.031392161
8/15/18,0.027527811
8/16/18,0.028074186
8/17/18,0.022055419
8/18/18,0.02543205
8/19/18,0.018702712
8/20/18,-1.27E+30
8/21/18,0.030233897
8/22/18,0.029763822
8/23/18,0.041367825
8/24/18,0.024239468
8/25/18,0.029941957
8/26/18,0.022730636
8/27/18,0.026450997
8/28/18,0.02576709
8/29/18,0.026282879
8/30/18,0.038295023
8/31/18,0.023718251
9/1/18,0.034328964
9/2/18,0.024988785
9/3/18,0.032556012
9/4/18,0.024785945
9/5/18,0.038022433
9/6/18,0.03555641
9/7/18,0.044886332
9/8/18,0.053388137
9/9/18,0.052245792
9/10/18,0.03508867
9/11/18,0.042494532
9/12/18,0.041096032
9/13/18,0.031493291
9/14/18,0.029969545
9/15/18,0.039656088
9/16/18,0.031129111
9/17/18,0.043574266
9/18/18,0.033897523
9/19/18,0.034357101
9/20/18,0.031856731
9/21/18,-1.27E+30
9/22/18,0.040814132
9/23/18,0.033302486
9/24/18,0.032111738
9/25/18,0.025534309
9/26/18,0.028727228
9/27/18,0.029493414
9/28/18,0.035469856
9/29/18,0.03763172
9/30/18,0.025994007
10/1/18,0.039694045
10/2/18,0.033638656
10/3/18,0.036846805
10/4/18,0.037489638
10/5/18,0.032290909
10/6/18,0.032299433
10/7/18,0.040495388
10/8/18,0.044309802
10/9/18,0.026947284
10/10/18,0.038499769
10/11/18,0.028054103
10/12/18,0.050326251
10/13/18,0.035684701
10/14/18,0.022109138
10/15/18,0.03064034
10/16/18,0.044270251
10/17/18,0.029759992
10/18/18,0.024929056
10/19/18,0.039660547
10/20/18,0.020670032
10/21/18,0.04649476
10/22/18,0.030632503
10/23/18,-1.27E+30
10/24/18,0.040905979
10/25/18,0.029236842
10/26/18,0.045809083
10/27/18,0.029161876
10/28/18,0.037449382
10/29/18,0.030491734
10/30/18,0.026986228
10/31/18,0.03059946
11/1/18,0.037105184
11/2/18,0.039000597
11/3/18,0.023654835
11/4/18,0.029535795
11/5/18,0.02871264
11/6/18,0.030554274
11/7/18,0.025574321
11/8/18,0.023963837
11/9/18,0.036044464
11/10/18,0.029395737
11/11/18,0.041318167
11/12/18,0.033593249
11/13/18,0.034136899
11/14/18,0.022655278
11/15/18,0.028126154
11/16/18,0.0243
11/17/18,0.041599881
11/18/18,0.034551416
11/19/18,0.021105088
11/20/18,0.034892265
11/21/18,0.023304373
11/22/18,0.023334838
11/23/18,0.037790842
11/24/18,-1.27E+30
11/25/18,0.032611363
11/26/18,0.025248135
11/27/18,0.033009954
11/28/18,0.016869264
11/29/18,0.031295858
11/30/18,0.030888138
12/1/18,0.029272847
12/2/18,0.02025032
12/3/18,0.024026576
12/4/18,0.028397318
12/5/18,0.016238833
12/6/18,0.026968759
12/7/18,0.019498872
12/8/18,0.044453494
12/9/18,0.027842132
12/10/18,0.027132027
12/11/18,0.021065025
12/12/18,0.020620406
12/13/18,0.034041118
12/14/18,0.027500117
12/15/18,0.075347215
12/16/18,0.024138054
12/17/18,0.037679203
12/18/18,0.031176051
12/19/18,0.036828958
12/20/18,0.077053264
12/21/18,0.038101405
12/22/18,0.029240431
12/23/18,0.020082451
12/24/18,0.039312016
12/25/18,0.029012252
12/26/18,-1.27E+30
12/27/18,0.040730104
12/28/18,0.029866686
12/29/18,0.032452758
12/30/18,0.034913458
12/31/18,0.073642284
1/1/19,0.020490298
1/2/19,0.034544941
1/3/19,0.03782808
1/4/19,0.032078952
1/5/19,0.0345494
1/6/19,0.015792871
1/7/19,0.058802456
1/8/19,0.021991784
1/9/19,0.046081577
1/10/19,0.034413766
1/11/19,0.034901019
1/12/19,0.029556789
1/13/19,0.042681746
1/14/19,0.026477775
1/15/19,0.026131753
1/16/19,0.050003097
1/17/19,0.034751486
1/18/19,0.065044493
1/19/19,0.036603753
1/20/19,0.03457797
1/21/19,0.035256624
1/22/19,0.024652481
1/23/19,0.039167162
1/24/19,0.022766251
1/25/19,0.019773262
1/26/19,0.025646441
1/27/19,-1.27E+30
1/28/19,0.021437774
1/29/19,0.03664599
1/30/19,0.0385346
1/31/19,0.021345938
2/1/19,0.032581154
2/2/19,0.027653005
2/3/19,0.021770921
2/4/19,0.034674063
2/5/19,0.032290414
2/6/19,0.027558751
2/7/19,0.033152372
2/8/19,0.016356289
2/9/19,0.02967299
2/10/19,0.035044894
2/11/19,0.023639889
2/12/19,0.032447632
2/13/19,0.037699249
2/14/19,0.046135586
2/15/19,0.057036538
2/16/19,0.061666984
2/17/19,0.039712187
2/18/19,0.022856977
2/19/19,0.040554058
2/20/19,0.036992922
2/21/19,0.032619737
2/22/19,0.032503646
2/23/19,0.032325067
2/24/19,0.027306948
2/25/19,0.031147756
2/26/19,0.03394996
2/27/19,0.039213769
2/28/19,-1.27E+30
3/1/19,0.038364798
3/2/19,0.043281734
3/3/19,0.036221538
3/4/19,0.045817014
3/5/19,0.04178774
3/6/19,0.032042693
3/7/19,0.028328838
3/8/19,0.035681699
3/9/19,0.027029807
3/10/19,0.037884295
3/11/19,0.033645481
3/12/19,0.032372069
3/13/19,0.041230958
3/14/19,0.032422978
3/15/19,0.034954313
3/16/19,0.03054465
3/17/19,0.050342389
3/18/19,0.052410744
3/19/19,0.038082738
3/20/19,0.049682044
3/21/19,0.042781517
